idx,timestamp,price,whale,structure,aligned,fwd_4h,fwd_12h,fwd_24h
2001,2026-05-08 01:45:00,2285.06,WHALE_BEARISH,BEARISH,True,-0.003978013706423478,-0.0037635773240090042,0.012761152880011783
2002,2026-05-08 02:00:00,2277.84,WHALE_BEARISH,BEARISH,True,-0.0007287605801988839,0.0014926421522141187,0.017090752642854534
2003,2026-05-08 02:15:00,2276.35,WHALE_BEARISH,BEARISH,True,-0.0005842686757308035,0.0022536077492476547,0.017536846267050432
2004,2026-05-08 02:30:00,2279.49,WHALE_BEARISH,BEARISH,True,-0.001649491772282241,0.003689421756621236,0.016863421203865858
2005,2026-05-08 02:45:00,2279.15,WHALE_BEARISH,BEARISH,True,-0.0017243270517518505,0.0028826536208672593,0.01663778162911611
2006,2026-05-08 03:00:00,2273.13,WHALE_BEARISH,BEARISH,True,-0.002032439851658241,0.003585364673379887,0.019836085045729757
2007,2026-05-08 03:15:00,2278.8,WHALE_BEARISH,BEARISH,True,-0.0035413375460769947,-0.00047393364928927095,0.01668860803931893
2008,2026-05-08 03:30:00,2280.78,WHALE_BEARISH,BEARISH,True,-0.0005480581204675428,0.0019116267241907625,0.01441173633581494
2009,2026-05-08 03:45:00,2278.76,WHALE_BEARISH,BEARISH,True,0.0011365830539413757,0.006336779652091229,0.016048201653530825
2010,2026-05-08 04:00:00,2282.51,WHALE_BEARISH,BEARISH,True,-0.00034611020324137876,0.0034479586069720014,0.01704264165326741
2011,2026-05-08 04:15:00,2282.58,WHALE_BEARISH,BEARISH,True,-0.00048191082021220577,0.0032550885401607665,0.014974283486230533
2012,2026-05-08 04:30:00,2277.65,WHALE_BEARISH,BEARISH,True,0.003424582354619732,0.006155467257919378,0.015687221478277946
2013,2026-05-08 04:45:00,2281.63,WHALE_BEARISH,BEARISH,True,0.0008458864934279831,0.0036377502048972055,0.013464058589692351
2014,2026-05-08 05:00:00,2280.97,WHALE_BEARISH,BEARISH,True,0.0036081140918118315,0.006523540423591712,0.014397383569271005
2015,2026-05-08 05:15:00,2280.27,WHALE_BEARISH,BEARISH,True,0.003223302503650771,0.009362926320128695,0.015476237463107445
2016,2026-05-08 05:30:00,2283.31,WHALE_BEARISH,BEARISH,True,0.0010467260249373833,0.01168479093946928,0.014820589407483098
2017,2026-05-08 05:45:00,2275.97,WHALE_BEARISH,BEARISH,True,0.0036775528675687674,0.012693488929994778,0.017069645030470593
2018,2026-05-08 06:00:00,2276.18,WHALE_BEARISH,BEARISH,True,0.00298746144856743,0.015930198841919374,0.01862770079694931
2019,2026-05-08 06:15:00,2275.02,WHALE_BEARISH,BEARISH,True,0.0038153510738365704,0.019107524329456282,0.01844818946646609
2020,2026-05-08 06:30:00,2275.73,WHALE_BEARISH,BEARISH,True,0.006336428310915743,0.018728056491763123,0.017286760731721307
2021,2026-05-08 06:45:00,2275.22,WHALE_BEARISH,BEARISH,True,0.005590668155167622,0.016820351438542103,0.017198336864127528
2022,2026-05-08 07:00:00,2268.51,WHALE_BEARISH,BEARISH,True,0.009830240995190476,0.02159567293069009,0.01963403291147059
2023,2026-05-08 07:15:00,2270.73,WHALE_BEARISH,BEARISH,True,0.009767783928516405,0.019702914921633008,0.020024397440470576
2024,2026-05-08 07:30:00,2279.53,WHALE_BEARISH,BEARISH,True,0.004808008668453434,0.015994525187209563,0.015994525187209563
2025,2026-05-08 07:45:00,2281.35,WHALE_BEARISH,BEARISH,True,0.006149867403072884,0.015210292151577098,0.01461415390010301
2026,2026-05-08 08:00:00,2281.72,WHALE_BEARISH,BEARISH,True,0.005123328015707473,0.013831670844801414,0.016180775905895617
2027,2026-05-08 08:15:00,2281.48,WHALE_BEARISH,BEARISH,True,0.005137016322737775,0.013508775005698137,0.01646738082297472
2028,2026-05-08 08:30:00,2285.45,WHALE_BEARISH,BEARISH,True,0.0025334179264477896,0.010046161587433655,0.014154761644315395
2029,2026-05-08 08:45:00,2283.56,WHALE_BEARISH,BEARISH,True,0.00042477535076823614,0.010111404999211926,0.014713867820420612
2030,2026-05-08 09:00:00,2289.2,WHALE_BEARISH,BEARISH,True,-0.005713786475624594,0.007181548139088001,0.01141883627468121
2031,2026-05-08 09:15:00,2287.62,WHALE_BEARISH,BEARISH,True,-0.006019356361633532,0.009241045278499227,0.011177555712924336
2032,2026-05-08 09:30:00,2285.7,WHALE_BEARISH,BEARISH,True,-0.005989412433827557,0.012337577109857056,0.012210701316883288
2033,2026-05-08 09:45:00,2284.34,WHALE_BEARISH,BEARISH,True,-0.00344957405640145,0.013259847483299225,0.012668867156377717
2034,2026-05-08 10:00:00,2282.98,WHALE_BEARISH,BEARISH,True,-0.000762161735976763,0.015212573040499722,0.01308815670746144
2035,2026-05-08 10:15:00,2283.7,WHALE_BEARISH,BEARISH,True,-0.0009721066690019375,0.012873845075973334,0.012252047116521503
2036,2026-05-08 10:30:00,2290.15,WHALE_BEARISH,BEARISH,True,-0.000982468397266567,0.009571425452481241,0.010449097220706083
2037,2026-05-08 10:45:00,2287.94,WHALE_BEARISH,BEARISH,True,-0.0009703051653453532,0.010070194148448008,0.010734547234630298
2038,2026-05-08 11:00:00,2290.81,WHALE_BEARISH,BEARISH,True,-0.004160100575778758,0.007067369183825889,0.010367511928095263
2039,2026-05-08 11:15:00,2292.91,WHALE_BEARISH,BEARISH,True,-0.006624769397839403,0.006585517966252619,0.009721271223031014
2040,2026-05-08 11:30:00,2290.49,WHALE_BEARISH,BEARISH,True,-0.0023357447533060016,0.006203912699902725,0.010067714768455804
2041,2026-05-08 11:45:00,2295.38,WHALE_BEARISH,BEARISH,True,-0.0009497338131377875,0.005088482081398116,0.008360271501886452
2042,2026-05-08 12:00:00,2293.41,WHALE_BEARISH,BEARISH,True,-0.0013211767629860427,0.0056248119612281045,0.00906074360886211
2043,2026-05-08 12:15:00,2293.2,WHALE_BEARISH,BULLISH,False,-0.0013910692482119735,0.006597767312052971,0.01031309959881388
2044,2026-05-08 12:30:00,2291.24,WHALE_BEARISH,BULLISH,False,0.000187671304621162,0.008344826382221227,0.010492135263001856
2045,2026-05-08 12:45:00,2284.53,WHALE_BEARISH,BULLISH,False,0.0023637247048624577,0.010514197668667125,0.014011634778269277
2046,2026-05-08 13:00:00,2276.12,WHALE_BEARISH,BEARISH,True,0.008668260021440055,0.01636117603641285,0.017380454457585737
2047,2026-05-08 13:15:00,2273.85,WHALE_BEARISH,BEARISH,True,0.01221276689315487,0.01652263781691854,0.017679266442377495
2048,2026-05-08 13:30:00,2272.01,WHALE_BEARISH,BEARISH,True,0.01671647571973689,0.019198859159950787,0.01804569522141186
2049,2026-05-08 13:45:00,2276.46,WHALE_BEARISH,BEARISH,True,0.012475510222011321,0.016587157252927698,0.016639870676401047
2050,2026-05-08 14:00:00,2281.24,WHALE_BEARISH,BEARISH,True,0.01367677228174169,0.015574862793919175,0.014189651242306978
2051,2026-05-08 14:15:00,2281.48,WHALE_BEARISH,BEARISH,True,0.016221926118133778,0.015248873538229457,0.011637182881287567
