fundingTime,funding_interval_hours,fundingRate,timestamp
1717200000000,8,0.00017131,2024-06-01 00:00:00.000
1717228800000,8,0.00013009,2024-06-01 08:00:00.000
1717257600001,8,0.00011557,2024-06-01 16:00:00.001
1717286400000,8,0.00015695,2024-06-02 00:00:00.000
1717315200000,8,0.0001,2024-06-02 08:00:00.000
1717344000000,8,0.0001,2024-06-02 16:00:00.000
1717372800000,8,0.00012702,2024-06-03 00:00:00.000
1717401600000,8,0.00015803,2024-06-03 08:00:00.000
1717430400000,8,0.00012815,2024-06-03 16:00:00.000
1717459200000,8,0.0001,2024-06-04 00:00:00.000
1717488000000,8,0.0001,2024-06-04 08:00:00.000
1717516800000,8,0.000108,2024-06-04 16:00:00.000
1717545600000,8,0.00016969,2024-06-05 00:00:00.000
1717574400000,8,0.0001,2024-06-05 08:00:00.000
1717603200000,8,0.00010659,2024-06-05 16:00:00.000
1717632000000,8,0.00019461,2024-06-06 00:00:00.000
1717660800008,8,0.00020328,2024-06-06 08:00:00.008
1717689600000,8,0.00014989,2024-06-06 16:00:00.000
1717718400000,8,0.00016105,2024-06-07 00:00:00.000
1717747200000,8,0.00013228,2024-06-07 08:00:00.000
1717776000000,8,0.00017029,2024-06-07 16:00:00.000
1717804800000,8,0.0001,2024-06-08 00:00:00.000
1717833600000,8,0.0001,2024-06-08 08:00:00.000
1717862400000,8,0.0001,2024-06-08 16:00:00.000
1717891200000,8,0.0001,2024-06-09 00:00:00.000
1717920000000,8,0.0001,2024-06-09 08:00:00.000
1717948800001,8,0.0001,2024-06-09 16:00:00.001
1717977600000,8,0.0001,2024-06-10 00:00:00.000
1718006400000,8,0.0001,2024-06-10 08:00:00.000
1718035200001,8,0.0001,2024-06-10 16:00:00.001
1718064000001,8,0.0001,2024-06-11 00:00:00.001
1718092800000,8,0.0001,2024-06-11 08:00:00.000
1718121600000,8,0.0001,2024-06-11 16:00:00.000
1718150400000,8,0.0001,2024-06-12 00:00:00.000
1718179200000,8,0.0001,2024-06-12 08:00:00.000
1718208000000,8,0.0001,2024-06-12 16:00:00.000
1718236800000,8,0.0001,2024-06-13 00:00:00.000
