Open time ms,Open,High,Low,Close,Volume,Open time
1776403800000,2322.25,2323.91,2320.14,2321.29,1312.5001,2026-04-17 05:30:00
1776404700000,2321.28,2322.29,2317.99,2319.29,4763.3731,2026-04-17 05:45:00
1776405600000,2319.29,2324.88,2317.49,2323.7,3302.4307,2026-04-17 06:00:00
1776406500000,2323.71,2326.0,2323.22,2325.73,2112.3689,2026-04-17 06:15:00
1776407400000,2325.73,2329.67,2324.07,2329.22,1300.8481,2026-04-17 06:30:00
1776408300000,2329.23,2332.4,2328.03,2331.09,2051.2254,2026-04-17 06:45:00
1776409200000,2331.1,2342.02,2331.06,2339.87,3448.7633,2026-04-17 07:00:00
1776410100000,2339.87,2339.87,2334.52,2337.14,1676.8876,2026-04-17 07:15:00
1776411000000,2337.13,2338.67,2333.4,2335.15,1209.1912,2026-04-17 07:30:00
1776411900000,2335.15,2335.16,2330.09,2334.16,1546.306,2026-04-17 07:45:00
1776412800000,2334.15,2339.99,2332.98,2336.51,1635.9559,2026-04-17 08:00:00
1776413700000,2336.52,2341.72,2335.48,2340.49,2687.9751,2026-04-17 08:15:00
1776414600000,2340.48,2354.94,2339.97,2348.99,5852.7594,2026-04-17 08:30:00
1776415500000,2348.99,2359.27,2345.06,2354.87,4753.796,2026-04-17 08:45:00
1776416400000,2354.87,2356.75,2348.28,2356.35,4191.7683,2026-04-17 09:00:00
1776417300000,2356.35,2377.0,2351.85,2371.69,8866.2274,2026-04-17 09:15:00
1776418200000,2371.68,2373.4,2350.01,2355.58,7046.9072,2026-04-17 09:30:00
1776419100000,2355.58,2361.87,2352.01,2359.1,2864.9916,2026-04-17 09:45:00
1776420000000,2359.1,2361.1,2352.23,2353.59,4556.9699,2026-04-17 10:00:00
1776420900000,2353.59,2357.39,2341.89,2342.34,4127.144,2026-04-17 10:15:00
1776421800000,2342.4,2346.21,2336.45,2339.06,6800.4673,2026-04-17 10:30:00
1776422700000,2339.07,2345.09,2336.45,2344.01,2534.9206,2026-04-17 10:45:00
1776423600000,2344.01,2349.4,2343.08,2347.0,2102.5584,2026-04-17 11:00:00
1776424500000,2346.99,2354.19,2346.73,2352.14,2472.0613,2026-04-17 11:15:00
1776425400000,2352.14,2355.12,2348.69,2350.0,3308.962,2026-04-17 11:30:00
1776426300000,2350.01,2356.96,2349.96,2354.99,2070.9831,2026-04-17 11:45:00
1776427200000,2355.0,2358.0,2349.4,2356.95,2803.6955,2026-04-17 12:00:00
1776428100000,2356.94,2365.99,2353.79,2359.35,3203.5005,2026-04-17 12:15:00
1776429000000,2359.36,2364.34,2354.52,2356.59,3074.4678,2026-04-17 12:30:00
1776429900000,2356.59,2382.66,2355.83,2371.97,16471.0797,2026-04-17 12:45:00
1776430800000,2371.97,2409.29,2366.8,2406.88,22792.9751,2026-04-17 13:00:00
1776431700000,2406.84,2426.82,2396.96,2404.71,32988.7841,2026-04-17 13:15:00
1776432600000,2404.77,2420.5,2389.57,2418.34,24865.0411,2026-04-17 13:30:00
1776433500000,2418.35,2440.45,2408.35,2437.05,27485.6588,2026-04-17 13:45:00
1776434400000,2437.05,2447.56,2426.5,2430.22,14818.9603,2026-04-17 14:00:00
1776435300000,2430.21,2440.3,2426.31,2432.72,12831.1384,2026-04-17 14:15:00
1776436200000,2432.72,2456.93,2432.72,2447.93,19575.4864,2026-04-17 14:30:00
1776437100000,2447.92,2454.26,2440.69,2447.25,11653.3135,2026-04-17 14:45:00
1776438000000,2447.25,2449.22,2433.16,2441.98,10717.0774,2026-04-17 15:00:00
1776438900000,2441.98,2448.94,2439.08,2444.22,5083.4662,2026-04-17 15:15:00
1776439800000,2444.21,2449.99,2436.03,2439.41,6942.4098,2026-04-17 15:30:00
1776440700000,2439.41,2446.24,2435.47,2441.96,5528.8318,2026-04-17 15:45:00
1776441600000,2441.96,2452.69,2441.71,2444.89,5218.0328,2026-04-17 16:00:00
1776442500000,2444.89,2455.93,2441.49,2453.66,6539.9478,2026-04-17 16:15:00
1776443400000,2453.65,2464.91,2452.36,2459.36,10077.1502,2026-04-17 16:30:00
1776444300000,2459.36,2460.37,2448.49,2451.3,4074.1808,2026-04-17 16:45:00
1776445200000,2451.31,2452.5,2431.32,2437.3,6682.7655,2026-04-17 17:00:00
1776446100000,2437.3,2442.5,2422.08,2428.43,7816.5598,2026-04-17 17:15:00
1776447000000,2428.44,2438.4,2428.44,2435.33,3822.6764,2026-04-17 17:30:00
1776447900000,2435.33,2444.84,2434.98,2440.42,3138.1261,2026-04-17 17:45:00
1776448800000,2440.42,2442.68,2417.84,2419.46,8478.6862,2026-04-17 18:00:00
1776449700000,2419.47,2427.61,2415.41,2420.49,5390.5377,2026-04-17 18:15:00
1776450600000,2420.5,2430.29,2419.58,2429.86,1964.3305,2026-04-17 18:30:00
1776451500000,2429.85,2430.0,2417.93,2419.99,2267.3199,2026-04-17 18:45:00
1776452400000,2420.0,2426.38,2417.17,2423.68,2929.4482,2026-04-17 19:00:00
1776453300000,2423.69,2429.56,2423.5,2424.36,2244.2907,2026-04-17 19:15:00
1776454200000,2424.36,2432.92,2424.36,2430.96,2596.6903,2026-04-17 19:30:00
1776455100000,2430.96,2431.74,2424.38,2427.92,3557.6246,2026-04-17 19:45:00
1776456000000,2427.92,2435.29,2427.92,2432.92,2002.7804,2026-04-17 20:00:00
1776456900000,2432.92,2433.02,2427.73,2428.17,890.8731,2026-04-17 20:15:00
1776457800000,2428.17,2428.91,2417.01,2421.7,2967.0042,2026-04-17 20:30:00
1776458700000,2421.7,2427.39,2420.29,2426.78,1571.4156,2026-04-17 20:45:00
1776459600000,2426.76,2431.5,2426.49,2429.09,1780.1309,2026-04-17 21:00:00
1776460500000,2429.08,2433.48,2425.95,2429.78,2217.1009,2026-04-17 21:15:00
1776461400000,2429.78,2429.78,2418.71,2428.14,4239.8808,2026-04-17 21:30:00
1776462300000,2428.15,2431.0,2426.66,2429.49,2012.0865,2026-04-17 21:45:00
1776463200000,2429.49,2431.31,2424.5,2425.65,1732.0603,2026-04-17 22:00:00
1776464100000,2425.64,2432.9,2422.78,2432.0,10522.0594,2026-04-17 22:15:00
1776465000000,2432.0,2444.34,2429.15,2436.83,27751.58,2026-04-17 22:30:00
1776465900000,2436.84,2439.43,2432.78,2433.52,1946.565,2026-04-17 22:45:00
1776466800000,2433.52,2433.52,2428.51,2429.32,2206.7452,2026-04-17 23:00:00
1776467700000,2429.32,2429.32,2415.47,2421.57,7854.8669,2026-04-17 23:15:00
1776468600000,2421.57,2424.9,2419.0,2420.7,3468.1669,2026-04-17 23:30:00
1776469500000,2420.69,2423.05,2417.65,2419.0,1578.5988,2026-04-17 23:45:00
1776470400000,2419.0,2423.58,2417.0,2417.8,1249.1471,2026-04-18 00:00:00
1776471300000,2417.8,2422.06,2417.57,2421.61,1174.0619,2026-04-18 00:15:00
1776472200000,2421.6,2422.6,2410.06,2414.11,3390.4875,2026-04-18 00:30:00
1776473100000,2414.12,2423.27,2413.66,2420.99,3628.955,2026-04-18 00:45:00
1776474000000,2420.99,2427.64,2416.8,2426.73,2146.4722,2026-04-18 01:00:00
1776474900000,2426.73,2426.73,2423.16,2423.88,1160.402,2026-04-18 01:15:00
1776475800000,2423.87,2423.87,2418.74,2420.01,2174.2201,2026-04-18 01:30:00
1776476700000,2420.0,2423.98,2418.36,2420.99,833.5936,2026-04-18 01:45:00
1776477600000,2421.0,2421.44,2416.83,2421.04,1132.6219,2026-04-18 02:00:00
1776478500000,2421.03,2424.85,2420.99,2421.99,1610.9984,2026-04-18 02:15:00
1776479400000,2422.0,2423.08,2419.26,2420.57,1835.4917,2026-04-18 02:30:00
1776480300000,2420.56,2420.77,2418.49,2419.2,628.7455,2026-04-18 02:45:00
1776481200000,2419.21,2419.21,2415.32,2416.81,690.4749,2026-04-18 03:00:00
1776482100000,2416.8,2419.38,2416.03,2416.57,634.632,2026-04-18 03:15:00
1776483000000,2416.58,2417.85,2414.32,2415.59,539.9414,2026-04-18 03:30:00
1776483900000,2415.59,2419.83,2399.54,2405.04,6242.515,2026-04-18 03:45:00
1776484800000,2405.03,2410.22,2400.92,2410.02,1317.3149,2026-04-18 04:00:00
1776485700000,2410.02,2410.48,2400.63,2402.97,1117.6329,2026-04-18 04:15:00
1776486600000,2402.97,2407.8,2399.52,2404.74,1452.762,2026-04-18 04:30:00
1776487500000,2404.75,2409.55,2404.17,2407.48,1007.2504,2026-04-18 04:45:00
1776488400000,2407.48,2413.54,2407.14,2411.75,760.4328,2026-04-18 05:00:00
1776489300000,2411.75,2411.76,2408.77,2408.97,734.4523,2026-04-18 05:15:00
1776490200000,2408.97,2408.97,2405.83,2407.49,730.6347,2026-04-18 05:30:00
1776491100000,2407.49,2408.95,2407.04,2408.95,360.708,2026-04-18 05:45:00
1776492000000,2408.94,2410.86,2407.8,2409.41,1097.217,2026-04-18 06:00:00
1776492900000,2409.4,2409.41,2405.52,2408.64,482.0316,2026-04-18 06:15:00
1776493800000,2408.64,2411.56,2408.5,2411.13,864.1792,2026-04-18 06:30:00
1776494700000,2411.12,2411.87,2409.15,2410.0,501.9705,2026-04-18 06:45:00
1776495600000,2410.0,2411.12,2408.47,2409.25,622.3169,2026-04-18 07:00:00
1776496500000,2409.25,2409.25,2406.2,2406.2,967.4996,2026-04-18 07:15:00
1776497400000,2406.21,2407.04,2403.15,2405.34,1212.348,2026-04-18 07:30:00
1776498300000,2405.34,2405.43,2401.67,2403.71,1713.2446,2026-04-18 07:45:00
1776499200000,2403.71,2404.85,2398.47,2398.49,2440.8908,2026-04-18 08:00:00
1776500100000,2398.49,2398.56,2380.5,2387.32,11208.2315,2026-04-18 08:15:00
1776501000000,2387.31,2387.84,2367.39,2374.13,9276.6164,2026-04-18 08:30:00
1776501900000,2374.13,2382.14,2373.26,2380.57,2906.268,2026-04-18 08:45:00
1776502800000,2380.57,2380.57,2370.0,2376.28,3480.3974,2026-04-18 09:00:00
1776503700000,2376.28,2378.29,2369.75,2378.12,2581.302,2026-04-18 09:15:00
1776504600000,2378.12,2380.93,2375.97,2376.49,1794.5071,2026-04-18 09:30:00
1776505500000,2376.5,2377.26,2372.94,2376.04,1715.6796,2026-04-18 09:45:00
1776506400000,2376.03,2376.03,2353.88,2362.01,11253.5469,2026-04-18 10:00:00
1776507300000,2362.0,2364.86,2358.66,2361.3,3022.7195,2026-04-18 10:15:00
1776508200000,2361.3,2361.64,2356.78,2357.15,2185.9281,2026-04-18 10:30:00
1776509100000,2357.16,2361.95,2357.15,2359.34,1680.3711,2026-04-18 10:45:00
