entry_time,exit_time,direction,exit_reason,pnl_pct,size_pct,bars_held,result,ics,gatekeeper_passed,veto_soft_penalty,m1_dir,m1_score,m2_status,m2_score,m3_score,m4_status,m4_score,m5_status,m5_score,m7_score,m7_composite,eth_btc_trend,btc_trend,btc_atr_pctl,m8_status,m8_score,m9_status,m9_score,vol_regime,m10_status,m10_score,m11_status,m11_score,m12_status,m12_score,trend_dir,trend_val,cross_asset_score,session,phase0
2025-01-01 18:15:00,2025-01-02 00:45:00,LONG,TP1,1.8105,5.0,26,WIN,0.5578,True,0.1,BULLISH,0.6875,PASS,0.7083,0.7512,PASS,0.1251,PASS,0.5594,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BULL,PASS,0.6325,SKIP,0.5,SKIP,0.5,NEUTRAL,-0.0947,0.5,US,0.1337235116511782
2025-01-01 18:45:00,2025-01-02 00:45:00,LONG,TP1,1.5141,5.0,24,WIN,0.5661,True,0.1,BULLISH,0.7175,PASS,0.7083,0.8039,PASS,0.1238,PASS,0.5594,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BULL,PASS,0.6325,SKIP,0.5,SKIP,0.5,NEUTRAL,-0.0947,0.5,US,0.1337235116511782
2025-01-02 00:30:00,2025-01-02 04:45:00,LONG,TP1,0.9677,5.0,17,WIN,0.6423,True,0.1,BULLISH,0.7375,PASS,0.7083,0.7907,PASS,0.0552,PASS,0.5332,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BULL,PASS,0.6825,SKIP,0.5,SKIP,0.5,UP,0.2317,0.5,ASIAN,0.11823563399310175
2025-01-02 08:00:00,2025-01-02 09:15:00,LONG,TP1,0.3769,5.0,5,WIN,0.5745,True,0.1,BULLISH,0.7375,FAIL,0.15,0.5963,PASS,0.1066,PASS,0.4928,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BULL,PASS,0.6825,SKIP,0.5,SKIP,0.5,UP,0.2317,0.5,EU,0.11823563399310175
2025-01-02 09:45:00,2025-01-02 13:00:00,LONG,TP1,0.4054,5.0,13,WIN,0.5564,True,0.1,BULLISH,0.7375,FAIL,0.15,0.6,PASS,0.1301,PASS,0.79,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BULL,PASS,0.6825,SKIP,0.5,SKIP,0.5,UP,0.2317,0.5,EU,0.11823563399310175
2025-01-02 14:00:00,2025-01-02 14:30:00,LONG,TP1,0.4871,5.0,2,WIN,0.5651,True,0.1,BULLISH,0.7175,FAIL,0.15,0.6426,PASS,0.0552,PASS,0.8784,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BULL,PASS,0.6825,SKIP,0.5,SKIP,0.5,UP,0.2317,0.5,US_OPEN,0.11823563399310175
2025-01-02 14:30:00,2025-01-02 14:45:00,LONG,TP1,0.4841,5.0,1,WIN,0.5676,True,0.1,BULLISH,0.7375,FAIL,0.15,0.6696,PASS,0.0552,PASS,0.8296,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BULL,PASS,0.6825,SKIP,0.5,SKIP,0.5,UP,0.2317,0.5,US_OPEN,0.11823563399310175
2025-01-03 14:00:00,2025-01-03 14:15:00,LONG,TP1,0.4409,5.0,1,WIN,0.6105,True,0.1,NEUTRAL,0.5125,PASS,1.0,0.6182,PASS,0.2126,PASS,0.4897,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BULL,PASS,0.776,SKIP,0.5,SKIP,0.5,STRONG_UP,0.555,0.5,US_OPEN,0.1656495729128009
2025-01-03 14:30:00,2025-01-03 15:00:00,LONG,TP1,0.4372,5.0,2,WIN,0.6139,True,0.1,NEUTRAL,0.5125,PASS,1.0,0.7187,PASS,0.2126,PASS,0.8382,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BULL,PASS,0.776,SKIP,0.5,SKIP,0.5,STRONG_UP,0.555,0.5,US_OPEN,0.1656495729128009
2025-01-03 15:00:00,2025-01-03 15:30:00,LONG,TP1,0.5044,5.0,2,WIN,0.5774,True,0.1,NEUTRAL,0.5125,PASS,1.0,0.5424,PASS,0.2126,PASS,0.8382,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BULL,PASS,0.776,SKIP,0.5,SKIP,0.5,STRONG_UP,0.555,0.5,US_OPEN,0.1656495729128009
