Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
2025-11-01 13:00:00,3876.23,3878.9,3874.26,3877.18,1285.2898,2025-11-01 13:14:59.999,4983709.576369,13590,503.4398,1951998.655662
2025-11-01 13:15:00,3877.18,3879.2,3873.33,3874.93,1214.6085,2025-11-01 13:29:59.999,4707731.113925,14257,574.6787,2227538.109242
2025-11-01 13:30:00,3874.93,3877.0,3858.11,3862.95,2713.6335,2025-11-01 13:44:59.999,10492625.827405,30882,860.2876,3324846.389817
2025-11-01 13:45:00,3862.95,3870.5,3861.18,3870.3,1855.9792,2025-11-01 13:59:59.999,7175248.210644,24424,1165.6945,4506768.053379
2025-11-01 14:00:00,3870.29,3873.69,3859.46,3859.72,2714.6811,2025-11-01 14:14:59.999,10492308.265699,33272,1222.7099,4725114.714357
2025-11-01 14:15:00,3859.73,3867.38,3858.44,3865.45,2223.8331,2025-11-01 14:29:59.999,8590793.937894,33515,1217.4544,4703255.686838
2025-11-01 14:30:00,3865.45,3875.0,3862.0,3873.33,1720.1251,2025-11-01 14:44:59.999,6655859.944369,23300,936.6604,3624434.363641
2025-11-01 14:45:00,3873.33,3875.29,3868.43,3873.42,1421.6194,2025-11-01 14:59:59.999,5504615.684184,22431,639.9847,2477826.944077
2025-11-01 15:00:00,3873.41,3902.0,3871.4,3893.12,8723.1588,2025-11-01 15:14:59.999,33938550.725911,75511,5214.8766,20288574.943688
2025-11-01 15:15:00,3893.12,3895.74,3880.83,3887.69,4108.2508,2025-11-01 15:29:59.999,15971768.469829,42374,1563.0165,6076436.987326
2025-11-01 15:30:00,3887.69,3894.92,3882.57,3884.6,3133.906,2025-11-01 15:44:59.999,12186948.058092,35108,1268.5946,4932783.950811
2025-11-01 15:45:00,3884.61,3895.41,3883.25,3895.15,2337.9092,2025-11-01 15:59:59.999,9093027.483892,29054,1414.4555,5500854.532129
2025-11-01 16:00:00,3895.15,3909.39,3890.48,3892.21,6645.8689,2025-11-01 16:14:59.999,25907721.329681,57324,4453.2019,17357578.952017
2025-11-01 16:15:00,3892.22,3895.18,3886.01,3886.22,2482.7191,2025-11-01 16:29:59.999,9659429.587092,40279,1150.6935,4477610.455267
2025-11-01 16:30:00,3886.21,3898.63,3886.21,3898.31,1686.8075,2025-11-01 16:44:59.999,6568507.424922,26834,980.8752,3819428.794969
2025-11-01 16:45:00,3898.31,3902.99,3892.23,3892.23,1958.1746,2025-11-01 16:59:59.999,7633038.091919,28344,1137.2392,4433811.648534
2025-11-01 17:00:00,3892.24,3894.24,3877.26,3881.45,4110.5913,2025-11-01 17:14:59.999,15964824.762917,43367,1365.4687,5302360.797899
2025-11-01 17:15:00,3881.46,3881.63,3868.82,3869.4,3258.7445,2025-11-01 17:29:59.999,12627112.437149,29347,950.0571,3681546.527707
2025-11-01 17:30:00,3869.4,3875.85,3869.1,3869.1,1413.5743,2025-11-01 17:44:59.999,5473863.245569,20280,831.8441,3221318.086643
2025-11-01 17:45:00,3869.1,3871.64,3862.92,3865.96,2079.3644,2025-11-01 17:59:59.999,8041713.979863,20362,731.0018,2826795.539178
2025-11-01 18:00:00,3865.96,3872.55,3863.95,3869.65,1408.9021,2025-11-01 18:14:59.999,5449304.556336,19406,646.7199,2501873.995096
2025-11-01 18:15:00,3869.65,3877.44,3868.08,3870.39,911.4074,2025-11-01 18:29:59.999,3530317.719388,17542,649.8274,2517043.494889
2025-11-01 18:30:00,3870.4,3879.54,3869.56,3878.52,969.2764,2025-11-01 18:44:59.999,3756852.86277,15005,621.5197,2409131.18178
2025-11-01 18:45:00,3878.52,3880.72,3875.3,3880.26,719.1989,2025-11-01 18:59:59.999,2789286.477132,12594,452.1799,1753740.535244
2025-11-01 19:00:00,3880.26,3880.26,3876.0,3878.47,325.9122,2025-11-01 19:14:59.999,1263644.18236,8324,161.4689,626045.039723
2025-11-01 19:15:00,3878.47,3879.63,3873.86,3874.07,519.1091,2025-11-01 19:29:59.999,2012304.627474,11987,161.7923,627203.319764
2025-11-01 19:30:00,3874.08,3876.95,3871.21,3876.94,419.1587,2025-11-01 19:44:59.999,1624034.430179,10655,175.9996,681970.003101
2025-11-01 19:45:00,3876.94,3880.9,3876.38,3879.99,524.0898,2025-11-01 19:59:59.999,2033076.214847,7698,389.0854,1509371.496544
2025-11-01 20:00:00,3880.0,3886.28,3879.0,3882.21,1540.8018,2025-11-01 20:14:59.999,5983948.544623,15454,1177.043,4571168.888352
2025-11-01 20:15:00,3882.2,3889.21,3881.04,3889.21,1267.7324,2025-11-01 20:29:59.999,4927204.172447,17606,784.705,3049839.144629
2025-11-01 20:30:00,3889.2,3891.6,3886.14,3887.61,1157.0899,2025-11-01 20:44:59.999,4500414.223241,16808,549.7808,2138364.380541
2025-11-01 20:45:00,3887.6,3887.97,3879.79,3881.49,907.2746,2025-11-01 20:59:59.999,3522927.45876,12886,315.1159,1223481.468073
2025-11-01 21:00:00,3881.5,3882.97,3876.92,3876.92,696.1204,2025-11-01 21:14:59.999,2700956.734112,11588,319.1108,1238292.65836
